name
Coke
Diet Coke
Pepsi
Diet Pepsi
Sprite
Diet Sprite
Orange Crush
Soy Glazed Wings
Shrimp Spring Rolls
Garden Spring Rolls
Pork Egg Roll
Rib-Eye Noodle Salad
Pork House Salad
Grilled Chicken Salad
Belly Classic Banh Mi
Honey Grilled Pork Banh Mi
Ginger Chicken Banh Mi
Sunny-Side Beef Banh Mi
Veggiecado Banh Mi
Mushroom Lemongrass Banh Mi
Rice Bowl - Curry Chicken
Rice Bowl - Curry Tofu
Glazed Wings on Rice
Rice Bowl - Pork
Rice Bowl - Steak
Pho - Honey Grilled Pork
Pho - Ginger Chicken
Pho - Seared Beef
Pho - Tofu
