name
Dry Chili Chicken
Salted Shrimp with Head
Sauteed Sliced Lotus Root
3 Fresh Soup
Seaweed Soup
Rib and Radish Soup
Pork Bone and Lotus Root Soup
Tomato Egg Drop Soup
Pickled Cabbage Ground Pork Soup
Winter Melon Rib Soup
Seaweed with Rib Soup
Pickled Cabbage Sliced Fish Soup
Chicken Feet and Peanut Soup
Hen with Wood Ear Soup
Sliced Fish Soup
Steamed Pork Belly with Plum Dry Vegetable
Hunan Shredded Pork Sauteed
Tongting Twice Cooked Pork
Dry Beancurd with Pork
5 Spice Pork
Braised Meatball with Soy Sauce
Braised Pork in Hot Pot
Radish in Hot Pot with Braised Pork
ChangDe Tofu with Pork
ChangDe Bacon
Bacon with Young Bamboo
ChangDe Sliced Tender Pork
ChangDe Braised Pork with Potato
Tongting Braised Pork Rib
Cumin Pork
Powder Steamed Pork Ribs
Stir Fry Sliced Pork Belly
Pig Ear with Chili Pepper Sauce
Dry Pan Agrocybe
Intestine with Hot Pot
Braised Sirloin
Twice Cooked Beef
Salt Fry Beef
Cumin Beef
Dried Beef Brisket in Hunan
Tripe in Dry Pot
Sauteed Tripe with Garlic Sauce
Tripe in Chili Pepper Sauce
Omasum in Fresh Ginger Sauce
House Special Chicken with Hot Pot
Sliced Chicken with Garlic Sauce
Tongting Chicken
Tongting Salted Chicken
Chinese Chestnut with Chicken
Dry Chili Chicken
Chicken with Black Bean Sauce
Tongting Chicken with Chili Sauce
Chicken Feet with Chili Sauce
Hot and Sour Chicken Giblets
Tiger Skin Eggs with Pork Rib
Salted Shrimp with Head
Cocktail Shrimp
Hot and Spicy Jumbo Shrimp
House Special Fish with Hot Pot
Chef Special Conger Fish
Boiled Fish
Salted Sliced Fish
Hot and Spicy Fish
Tomato Fish
Stir Fry Fish Head with Chopped Hot Chili
Pickled Cabbage with Fish
Pola Fish
Oil Soaked Eggplant
Sauteed Fresh Vegetable
Sauteed Asparagus Lettuce
Sauteed Sliced Lotus Root
Sandwich Lotus Root
Potherb Mustard
Bitter Melon with Egg
ChangDe Bitter Melon
Sauteed Luffa
Stir Fry String Green Bean
Sauteed Strip Carrots
Sauteed Cabbage with Vinegar Sauce
Hand Shredded Cabbage
Radish in Garlic Chili Sauce
Pickled String Bean with Ground Pork
3 Cups of Duck
Brine Duck
Brine Duck Wing
Brine Duck Feet
Dry Pan Goat
Dry Pan Rabbit
Shrimp Fried Rice
Chicken Fried Rice
Beef Fried Rice
Roast Pork Fried Rice
Ham Fried Rice
Pork Strip Fried Rice
Yangchou Fried Rice
Vegetable Fried Rice
Tomato Fried Rice
Egg Fried Rice
