cuisines,latitude,longitude,item
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D15 Pork Pot Stickers
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D16 Pork Pot Stickers
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D17 Chives Pie
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D18
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D19 Fried Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D20 Sweet Cashew Fried Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D21 Cucumber Pork Fried Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D22 Cucumber Egg Fried Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D23 Spicy Combination Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D24 Stewed Beef with Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D25 Stewed Beef Offal Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D26 Stewed Pork with Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D27 Pickled Cabbage Pork with Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D28 Seafood Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D29 Bamboo Shoot Pork with Soup Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D30 Korean Cold Noodle with Spicy Soup
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D31 Spicy Cold Noodle
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D32 Noodle with Fried Soy Bean Paste
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D33 Fried Rice
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D34 YangZhou Fried Rice
"Home Cooking Restaurants,Restaurants,Home Cooking",41.836174,-87.646179,D35 Fried Rice with Korean Kimchi Pork
