category,unigram,count
szechuan,dry,40
szechuan,szechuan,35
szechuan,garlic,34
szechuan,pot,34
szechuan,vegetables,34
szechuan,house,33
szechuan,hot,32
szechuan,steamed,32
szechuan,sauteed,31
szechuan,stir,31
szechuan,green,30
szechuan,noodle,30
szechuan,fillet,29
szechuan,noodles,28
szechuan,pickle,28
szechuan,sliced,27
szechuan,braised,26
szechuan,egg,25
szechuan,mixed,25
szechuan,cooked,24
szechuan,sole,23
szechuan,duck,22
szechuan,shredded,22
szechuan,boiled,21
szechuan,chinese,21
szechuan,lamb,20
szechuan,black,19
szechuan,salt,19
szechuan,tenderloin,19
szechuan,chow,18
szechuan,curd,18
szechuan,eggplant,18
szechuan,frog,17
dimsum,beef,189
dimsum,fried,188
dimsum,sauce,187
dimsum,chicken,186
dimsum,pork,145
dimsum,shrimp,128
dimsum,rice,116
dimsum,soup,109
dimsum,stir-fried,88
dimsum,pepper,86
dimsum,fish,85
dimsum,egg,79
dimsum,tofu,75
dimsum,vegetable,64
dimsum,seafood,60
dimsum,bean,57
dimsum,salt,55
dimsum,stir,53
dimsum,style,53
dimsum,black,52
dimsum,noodle,50
dimsum,steamed,46
dimsum,noodles,45
dimsum,garlic,44
dimsum,sour,44
dimsum,mushroom,40
dimsum,casserole,39
dimsum,spicy,39
dimsum,sweet,39
dimsum,duck,37
dimsum,stewed,37
dimsum,crab,36
dimsum,w.,35
dimsum,chinese,34
dimsum,braised,32
dimsum,broccoli,32
dimsum,fillet,31
dimsum,bbq,29
dimsum,crispy,29
dimsum,oyster,29
dimsum,sauteed,28
dimsum,mein,26
dimsum,scallop,26
dimsum,dried,24
dimsum,szechuan,24
dimsum,chop,23
dimsum,green,23
dimsum,hot,23
dimsum,mixed,23
dimsum,special,23
caribbean,jerk,12
caribbean,chicken,11
caribbean,red,5
caribbean,salad,5
caribbean,shrimp,4
caribbean,snapper,4
caribbean,wings,4
caribbean,curry,3
caribbean,salmon,3
caribbean,soda,3
caribbean,tilapia,3
caribbean,white,3
caribbean,beans,2
caribbean,brown,2
caribbean,catfish,2
caribbean,mix,2
caribbean,mixed,2
caribbean,pineapple,2
caribbean,rice,2
caribbean,steamed,2
caribbean,stew,2
caribbean,wrap,2
caribbean,beef,1
caribbean,beer,1
caribbean,bread,1
caribbean,broasted,1
caribbean,cabbage,1
caribbean,callaloo,1
caribbean,can,1
caribbean,candy,1
caribbean,cesar,1
caribbean,chardonnay,1
caribbean,cilantro,1
caribbean,coconut,1
caribbean,combination,1
caribbean,corn,1
caribbean,cream,1
caribbean,cuban,1
caribbean,dark,1
caribbean,diner,1
caribbean,dinner,1
caribbean,escovitch,1
caribbean,excoveitched,1
caribbean,extra,1
caribbean,fry,1
caribbean,garden,1
caribbean,ginger,1
caribbean,goat,1
caribbean,hurricane,1
caribbean,jamaican,1
vegetarian,callaloo,1
vegetarian,cesar,1
vegetarian,chardonnay,1
vegetarian,cilantro,1
vegetarian,coconut,1
vegetarian,cuban,1
vegetarian,escovitch,1
vegetarian,hurricane,1
vegetarian,jerk,1
vegetarian,pineapple,1
vegetarian,red,1
vegetarian,rice,1
vegetarian,salad,1
vegetarian,salmon,1
vegetarian,shrimp,1
vegetarian,snapper,1
korean,pork,21
korean,fried,19
korean,soup,19
korean,korean,17
korean,kimchi,16
korean,beef,15
korean,chicken,15
korean,rice,14
korean,spicy,12
korean,seafood,11
korean,belly,10
korean,pancake,10
korean,vegetables,10
korean,house,8
korean,for,7
korean,sauce,7
korean,short,7
korean,stew,7
korean,tofu,7
korean,bowl,6
korean,rib,6
korean,bulgogi,5
korean,hot,5
korean,mixed,5
korean,noodles,5
korean,paste,5
korean,sliced,5
korean,special,5
korean,stir,5
korean,broiled,4
korean,buckwheat,4
korean,fish,4
korean,fries,4
korean,juice,4
korean,made,4
korean,pint,4
korean,porridge,4
korean,squid,4
korean,stone,4
korean,ahjoomah's,3
korean,apron,3
korean,banchan,3
korean,bibim,3
korean,boneless,3
korean,cake,3
korean,cake,,3
korean,card,3
korean,charcoal,3
korean,cheese,3
korean,chigae,3
mongolian,fried,4
mongolian,beef,3
mongolian,chicken,3
mongolian,lamb,3
mongolian,noodles,3
mongolian,cold,2
mongolian,fish,2
mongolian,grilled,2
mongolian,meat,2
mongolian,noodle,2
mongolian,pie,2
mongolian,pork,2
mongolian,potato,2
mongolian,salad,2
mongolian,spicy,2
mongolian,tea,2
mongolian,wings,2
mongolian,aorta,1
mongolian,backstraps,1
mongolian,black,1
mongolian,body,1
mongolian,bread,1
mongolian,broth,1
mongolian,bun,1
mongolian,buns,1
mongolian,cauliflower,1
mongolian,chongqing,1
mongolian,coconut,1
mongolian,cooked,1
mongolian,corn,1
mongolian,cucumber,1
mongolian,dumplings,1
mongolian,fern,1
mongolian,flat,1
mongolian,griddle,1
mongolian,herbal,1
mongolian,hot,1
mongolian,iced,1
mongolian,kebab,1
mongolian,leg,1
mongolian,milk,1
mongolian,mini,1
mongolian,mongolian,1
mongolian,mushrooms,1
mongolian,pancake,1
mongolian,ribbon,1
mongolian,ribs,1
mongolian,rice,1
mongolian,root,1
mongolian,sausage,1
hotpot,fried,4
hotpot,beef,3
hotpot,chicken,3
hotpot,lamb,3
hotpot,noodles,3
hotpot,cold,2
hotpot,fish,2
hotpot,grilled,2
hotpot,meat,2
hotpot,noodle,2
hotpot,pie,2
hotpot,pork,2
hotpot,potato,2
hotpot,salad,2
hotpot,spicy,2
hotpot,tea,2
hotpot,wings,2
hotpot,aorta,1
hotpot,backstraps,1
hotpot,black,1
hotpot,body,1
hotpot,bread,1
hotpot,broth,1
hotpot,bun,1
hotpot,buns,1
hotpot,cauliflower,1
hotpot,chongqing,1
hotpot,coconut,1
hotpot,cooked,1
hotpot,corn,1
hotpot,cucumber,1
hotpot,dumplings,1
hotpot,fern,1
hotpot,flat,1
hotpot,griddle,1
hotpot,herbal,1
hotpot,hot,1
hotpot,iced,1
hotpot,kebab,1
hotpot,leg,1
hotpot,milk,1
hotpot,mini,1
hotpot,mongolian,1
hotpot,mushrooms,1
hotpot,pancake,1
hotpot,ribbon,1
hotpot,ribs,1
hotpot,rice,1
hotpot,root,1
hotpot,sausage,1
indpak,chicken,29
indpak,special,11
indpak,dinner,9
indpak,lunch,9
indpak,roasted,9
indpak,piece,7
indpak,rice,7
indpak,shrimp,7
indpak,salad,6
indpak,-,5
indpak,curry,5
indpak,fish,5
indpak,fried,5
indpak,roll,5
indpak,turkey,5
indpak,white,5
indpak,alfredo,4
indpak,beans,4
indpak,bowl,4
indpak,cajun,4
indpak,dark,4
indpak,tikka,4
indpak,beer,3
indpak,caesar,3
indpak,cake,3
indpak,catfish,3
indpak,chef,3
indpak,gourmet,3
indpak,jerk,3
indpak,masala,3
indpak,salmon,3
indpak,side,3
indpak,balsamic,2
indpak,bolognese,2
indpak,bottle,2
indpak,bread,2
indpak,canned,2
indpak,corn,2
indpak,ground,2
indpak,homemade,2
indpak,italian,2
indpak,luciano's,2
indpak,naan,2
indpak,pasta,2
indpak,platter,2
indpak,quinoa,2
indpak,sauce,2
indpak,soda,2
indpak,spinach,2
indpak,tilapia,2
italian,chicken,95
italian,pizza,86
italian,sandwich,57
italian,salad,46
italian,italian,38
italian,special,36
italian,cheese,31
italian,sausage,26
italian,beef,22
italian,homemade,21
italian,hot,21
italian,crust,17
italian,thin,16
italian,turkey,16
italian,fried,15
italian,grilled,15
italian,large,14
italian,parmesan,14
italian,shrimp,14
italian,burger,13
italian,dinner,13
italian,meat,13
italian,deep,12
italian,dish,12
italian,eggplant,12
italian,pasta,12
italian,meatball,11
italian,sauce,11
italian,side,11
italian,broccoli,10
italian,caesar,10
italian,inch),10
italian,lunch,10
italian,roasted,10
italian,steak,10
italian,alfredo,9
italian,sicilian,9
italian,small,9
italian,bread,8
italian,cake,8
italian,chocolate,8
italian,club,8
italian,cold,8
italian,double,8
italian,parmigiana,8
italian,ravioli,8
italian,rice,8
italian,soup,8
italian,spaghetti,8
italian,veggie,8
cajun,chicken,28
cajun,shrimp,15
cajun,fried,14
cajun,lb.,14
cajun,rice,12
cajun,special,11
cajun,lunch,10
cajun,dinner,9
cajun,roasted,9
cajun,cajun,8
cajun,crab,8
