"name"
"4 Imperial Pot Sticker"
"4 Crab Rangoon"
"2 Egg Rolls"
"Mongolian Beef"
"General Tso's Chicken"
"Orange Chicken"
"Chicken Fried Rice"
"Vegetable Fried Rice"
"Soda"
"Lemon Tea"
"Ginger Ale Unlfiltered"
"Pu Pu Platter"
"Salt and Pepper Eggplant"
"Jelly Fish with Cucumber"
"Spicy Herb Calamari"
"4 Chicken Skewers"
"6 Soy Glazed Chicken Wings"
"6 Honey Glazed Chicken Wings"
"4 Imperial Pot Sticker"
"4 Crab Rangoon"
"4 Shrimp Toast"
"2 Egg Rolls"
"2 Vegetable Egg Rolls"
"4 Hong Kong Fried Dough (Bao)"
"Sea Cucumber Soup"
"Chinese Wild Mushroom Soup"
"Oyster with Bitter Melon and Tofu Soup"
"Seafood Tofu Soup"
"Crab Meat with Fish Maw Soup"
"Westlake Beef Soup"
"Clam with Watercress and Tofu Soup"
"Vegetable and Tofu Soup"
"Chicken Corn Soup"
"Egg Drop Soup (For 1)"
"Wonton Soup (For 1)"
"Hot and Sour Soup (For 1)"
"Salt and Pepper Soft Shell Crab"
"Clam Stir Fried with XO Sauce"
"Clam Stir Fried with Black Bean Sauce"
"Clam Spicy and Wine Sauce"
"Clam Stir Fried with Chive Flower"
"Clam Boiled in Salt Water"
"Shrimp and Scallop Stir Fried with XO Sauce"
"Shrimp and Scallop Stir Fried with Yellow Chives"
"Shrimp and Scallop Stir Fried with Broccoli"
"Shrimp and Scallop Salt and Pepper"
"Fish Fillet Stir Fry with Chili Pepper"
"Fish Fillet Soy Glazed"
"Fish Fillet Stir Fried with Chives"
"Fish Fillet Stir Fried with Vegetables"
"Fish Fillet Salt and Pepper"
"Fish Fillet Salted Egg"
"Shrimp Stir Fried with Ginger and Green Onion"
"Shrimp Salt and Pepper"
"Shrimp Salted Egg"
"Shrimp Walnut"
"Shrimp Spicy Herb"
"Shrimp Stir fried with Green Onions and Maggi Sauce"
"Pan Fried Oyster with Egg"
"Squid Stir Fried with XO Sauce"
"Squid Salt and Pepper"
"Mini Octopus Stir Fried with XO Sauce"
"Mini Octopus Salt and Pepper"
"Mini Octopus Curry"
"Mini Octopus Stir Fried with Black Bean and Chili Pepper"
"Mini Octopus in Spicy Szechaun Sauce"
"Seafood Trio in Bird Nest"
"Seafood Trio with Yellow Chives"
"Sizzling Kung Pao Trio"
"Sizzling Braised Shrimp"
"Sizzling Sliced Tenderloin with Black Pepper"
"Sizzling Beef Short Ribs with Black Pepper"
"Sizzling Soy Glazed Beef Tenderloin"
"Sizzling Soy Glazed Beef Short Ribs"
"Sizzling Mixed Mushrooms with Black Pepper"
"Sizzling Minced Pork with Eggplant and Salted Fish"
"Sizzling Kung Pao Tofu"
"Diced Steak with Mushrooms and Oyster Sauce"
"Diced Steak with Green Onion and Maggi Sauce"
"Tenderloin with Mixed Mushrooms"
"Stir Fried Beef with Enoki Mushroom and Peapod"
"Bitter Melon Beef"
"Jalapeno Beef"
"Mongolian Beef"
"Orange Beef"
"Kung Pao Beef"
"Beef with Broccoli"
"Beef with Chinese Broccoli"
"Beef in Satay Sauce"
"Beef with 100 Flavor Sauce"
"Peking Duck"
"Roasted Duck"
"Chicken with Ginger and Onion"
"Crispy Skin Chicken"
"Free Range Chicken"
"Duck Tongue Salt and Pepper"
"Duck Tongue Stir Fried with Black Bean Sauce"
"Duck Tongue Stir Fried with Chive Flower"
"Duck Tongue with Chive and XO Sauce"
"Steamed Chicken with Lotus Leaf"
"Squab Hong Sue Salt and Pepper"
"Squab Hong Sue Stir Fried with Black Bean Sauce"
"Squab Hong Sue Stir Fried with XO Sauce"
"4 Quail Deep Fried"
"4 Quail Salt and Pepper"
"4 Quail Stir Fried with Chive Mushroom"
"Chicken with Mixed Mushrooms"
"Chicken with Mango"
"Sesame Chicken"
"General Tso's Chicken"
"Kung Pao Chicken"
"Orange Chicken"
"Sweet and Sour Chicken"
"Lemon Chicken"
"Chicken Tenderloin with Vegetables"
"Bitter Melon Chicken"
"Mu Shu Chicken with 4 Pancakes"
"Hot and Spicy Chicken"
"Pork Blood with Chives"
"Chitterlings Deep Fried"
"Chitterlings Preserved Vegetable"
"Chitterlings Stir Fried with Pepper and Black Bean Sauce"
"Chitterlings with Spicy Szechuan Sauce"
"Chitterlings Stir Fried with Turnip and Jalapeno"
"Sweet and Sour Spare Ribs"
"Spicy Stir Fried Spare Ribs"
"Steamed Spare Ribs with Black Bean Sauce"
"Pork Belly with Preserved Mustard Green"
"Salt and Pepper Pork Chops"
"Mandarin Style Pork Chops"
"Fresh Garlic Pork Chop"
"Steamed Ground Pork with Salty Fish"
"Mu Shu Pork with 4 Pancakes"
"Sweet and Sour Pork"
"Peapod Green Bamboo Fungus"
"Peapod Green Stir Fried with Garlic"
"Peapod Green Sautee"
"Peapod Green 2 Kinds of Egg"
"Peapod Green Abalone Mushroom"
"King Mushroom over Japanese Tofu"
"Japanese Tofu Stir Fried with Mixed Mushrooms"
"Japanese Tofu Hong Sue"
"Salt and Pepper Japanese Tofu"
"Enoki Mushroom and Dried Scallops over Japanese Tofu"
"Black Mushrooms with Vegetables"
"Stir Fried Chinese Broccoli with Rice Wine"
"Bamboo Fungus over Vegetable"
"Hong Sue Black Mushroom Over Tofu"
"Szechuan Style Eggplant with Pepper"
"Mu Shu Vegetable"
"Bitter Melon with Black Bean Sauce"
"Choy Sum Stir Fried with Whole Garli"
"Choy Sum Stir Fried with Garlic"
"Choy Sum with Oyster Sauce"
"Chinese Broccoli Stir Fried with Whole Garlic"
"Chinese Broccoli Stir Fried with Garlic"
"Chinese Broccoli with Oyster Sauce"
"Bok Choy Stir Fried with Whole Garlic"
"Bok Choy Stir Fried with Garlic"
"Bok Choy with Oyster Sauce"
"Watercress Stir Fried with Garlic"
"Watercress Chicken Broth"
"Watercress with Two Kinds of Egg"
"Watercress with Preserved Tofu"
"Salt and Pepper String Beans"
"Szechuan String Beans"
"Spicy Shrimp and Scallop"
"Szechuan Stir Fried Trio"
"Szechuan Shrimp"
"Boiled in Spicy Szechuan Sauce with Shrimp"
"Boiled in Spicy Szechuan Sauce with Fish"
"Boiled in Spicy Szechuan Sauce with Beef"
"Mapo Tofu with Pork Blood in Szechuan Sauce"
"Twice Cooked Pork"
"Mapo Tofu with Minced Pork"
"Oyster with Roasted Pork"
"Lemongrass Ox Tail"
"Seafood with XO Sauce"
"Seafood Trio"
"Seafood Tofu"
"Satay Fatty Beef with Enoki Mushroom"
"Spare Ribs with Bitter Melon"
"Chicken with Tofu and Salt Fish"
"Beef Briskets with Turnip"
"Beef Brisket with Curry Sauce"
"Beef Brisket with Tofu Skin"
"Triple Crown Fortune Fried Rice"
"Triple Crown Seafood Hand Pulled Noodles"
"Triple Crown Pan Fried Thin Noodles"
"Stir-Fried Fillet of Pike with Pan Fried Thin Noodles"
"Stir-Fried Shrimp with Pan Fried Thin Noodles"
"Stir-Fried Shrimp with Pan Fried Thin Noodles and Black Bean Sauce"
"Crazy Noodle"
"Stir-Fried Chicken Hand-Pulled Noodles"
"Lucky Noodle"
"Stir Fried Beef Flat Rice Noodles"
"Stir-Fried Beef Chow Mein"
"Stir-Fried Beef Rice Noodles"
"Stir-Fried Beef Flat Rice Noodle with Vegetable"
"XO Sauce Beef Flat Rice Noodle"
"Chiu Chow Beef Flat Rice Noodle"
"Stir-Fried Soy Sauce Chow Mein"
"Hong Kong Style Chow Mein"
"Singapore Rice Noodles"
"House Special Stir-Fried Vermicelli"
"Chef's Special Fried Rice"
"Dried Scallop with Egg White Fried Rice"
