"name"
"Chicago's Best Thin Crust Pizza"
"The Elmwood Park Combo Pizza"
"Pan Cheese Pizza"
"Quattro Formaggio Nova Pizza"
"Double Pepperoni Nova Pizza"
"Sausage & Rapini Nova Pizza"
"White Clam Nova Pizza"
"Signature Nova Pizza"
"Casaccio Nova Pizza"
"Margherita Nova Pizza"
"Arugula & Prosciutto Novo Pizza"
"Elmwood Park Novo Pizza"
"Mama's Meatballs Novo Pizza"
"The Diavlo Novo Pizza"
"Mussels Fra Diavlo"
"Broccoli & Cauliflower Milanese"
"The Original Stuffed Artichoke"
"Sausage & Peppers"
"Grandma's Meatballs"
"Fried Calamari"
"Grilled Calamari"
"Eggplant Rottolo"
"Fire Roasted Red Peppers"
"Minestrone Soup"
"Antipasto Salad"
"Armand's Salad"
"Sicilian Chopped Salad"
"Burrata Salad"
"Caprese Salad"
"Caesar Salad"
"House Salad"
"Italian Wedge"
"Joe Mama's Meatball Salad"
"Rapini"
"Broccoli"
"Spinach"
"Asparagus"
"Italian Bomber"
"Meatball Bomber"
"Eggplant Parmesan Bomber"
"Italian Sausage Bomber"
"Linguine with Clam Sauce"
"Spaghetti with Meatballs"
"Eight Finger Cavatelli in Vodka Sauce"
"Classic Fettuccine Alfredo"
"Papperdelle Bolognese"
"Rigatoni in Sausage Gravy"
"Baked Ziti"
"Orecchiette with Rapini and Sausage"
"Jumbo Stuffed Shells"
"Homemade Ravioli"
"Homemade Lasagna"
"Chicken Parmesan"
"Chicken Francese"
"Chicken Saltimbocca"
"Chicken Milanese"
"Eggplant Parmigiana"
"Joe Stabile Steak"
"Eggplant Lorraine"
"Crispy Brick Chicken"
"Veal Parmesan"
"Veal Francese"
"Veal Marsala"
"Veal Milanese"
"Chicken Parmesan Bomber Lunch"
