category,word,count
asianfusion,Vegetable,128
asianfusion,Mushroom,120
asianfusion,Pepper,120
asianfusion,Style,120
asianfusion,Chinese,112
pizza,Pizza,608
pizza,Chicken,368
pizza,Tray,272
pizza,Cheese,208
pizza,Salad,200
pizza,Sandwich,184
pizza,for,168
pizza,Calzone,160
pizza,Italian,160
pizza,Large,136
pizza,Special,128
pizza,Sarpino's,112
pizza,Pasta,104
pizza,Crust,96
pizza,Homemade,88
pizza,Thin,88
pizza,Deep,80
pizza,Dish,80
pizza,Sausage,80
pizza,Baked,72
sandwiches,Sandwich,144
sandwiches,Fries,96
sandwiches,Sub,88
sandwiches,Chicken,80
sandwiches,Salad,56
sandwiches,Beef,48
sandwiches,Italian,48
sandwiches,Burger,40
sandwiches,Cheese,40
sandwiches,Bread,32
sandwiches,Breaded,32
sandwiches,Cheeseburger,32
sandwiches,Chili,32
sandwiches,Sausage,32
sandwiches,Cajun,24
sandwiches,Shrimp,24
sandwiches,Tenders,24
sandwiches,The,24
sandwiches,Turkey,24
sandwiches,on,24
chicken_wings,Fried,72
chicken_wings,Chicken,64
chicken_wings,Fries,24
chicken_wings,Rice,24
chicken_wings,Coleslaw,16
chicken_wings,Combo,16
chicken_wings,House,16
chicken_wings,Kimchi,16
chicken_wings,Salad,16
chicken_wings,Seasoned,16
chicken_wings,Shrimp,16
chicken_wings,Strips,16
chicken_wings,Wings,16
chicken_wings,Avocado,8
chicken_wings,Ball,8
chicken_wings,Bibimbap,8
chicken_wings,Bonchon,8
chicken_wings,Bulgogi,8
chicken_wings,Bull,8
chicken_wings,Buns,8
salad,Fried,72
salad,Chicken,64
salad,Fries,24
salad,Rice,24
salad,Coleslaw,16
salad,Combo,16
salad,House,16
salad,Kimchi,16
salad,Salad,16
salad,Seasoned,16
salad,Shrimp,16
salad,Strips,16
salad,Wings,16
salad,Avocado,8
salad,Ball,8
salad,Bibimbap,8
salad,Bonchon,8
salad,Bulgogi,8
salad,Bull,8
salad,Buns,8
british,Pie,40
british,Chips,24
british,Sauce,24
british,Chicken,16
british,Coffee,16
british,Curry,16
british,Drip,16
british,Egg,16
british,Gravy,16
british,Juice,16
british,Mash,16
british,Rarebit,16
british,Salad,16
british,Steak,16
british,and,12
british,'n',8
british,Ale,8
british,Balti,8
british,Bangers,8
british,Bread,8
pubs,Pie,40
pubs,Chips,24
pubs,Sauce,24
pubs,Chicken,16
pubs,Coffee,16
pubs,Curry,16
pubs,Drip,16
pubs,Egg,16
pubs,Gravy,16
pubs,Juice,16
pubs,Mash,16
pubs,Rarebit,16
pubs,Salad,16
pubs,Steak,16
pubs,and,12
pubs,'n',8
pubs,Ale,8
pubs,Balti,8
pubs,Bangers,8
pubs,Bread,8
breakfast_brunch,Kid's,56
breakfast_brunch,Salad,56
breakfast_brunch,Grilled,48
breakfast_brunch,Pie,40
breakfast_brunch,Breakfast,32
breakfast_brunch,Burger,32
breakfast_brunch,Cheese,32
breakfast_brunch,Chicken,32
breakfast_brunch,Fries,32
breakfast_brunch,Sandwich,32
breakfast_brunch,and,27
breakfast_brunch,Chips,24
breakfast_brunch,Kale,24
breakfast_brunch,Mac,24
breakfast_brunch,Pork,24
breakfast_brunch,Sauce,24
breakfast_brunch,Avocado,16
breakfast_brunch,Baked,16
