cuisine,count
chinese,40
ramen,2
pizza,9
italian,1
vietnamese,1
szechuan,6
dimsum,3
mexican,12
thai,2
cafes,2
caribbean,2
korean,1
burgers,1
mediterranean,1
seafood,2
bbq,1
traditional american,3
indian pakistan,2
sandwiches,4
new american,10
asian fusion,1
buffets,2
hotdog,1
chicken wings,1
hotdogs,1
japanese,1
delis,1
